"Step","stairs_pose_net_effb0 - epoch/test_loss","stairs_pose_net_effb0 - epoch/test_loss__MIN","stairs_pose_net_effb0 - epoch/test_loss__MAX","pumpkin_pose_net_effb0 - epoch/test_loss","pumpkin_pose_net_effb0 - epoch/test_loss__MIN","pumpkin_pose_net_effb0 - epoch/test_loss__MAX","office_pose_net_effb0 - epoch/test_loss","office_pose_net_effb0 - epoch/test_loss__MIN","office_pose_net_effb0 - epoch/test_loss__MAX","heads_pose_net_effb0 - epoch/test_loss","heads_pose_net_effb0 - epoch/test_loss__MIN","heads_pose_net_effb0 - epoch/test_loss__MAX","fire_pose_net_effb0 - epoch/test_loss","fire_pose_net_effb0 - epoch/test_loss__MIN","fire_pose_net_effb0 - epoch/test_loss__MAX","chess_pose_net_effb0 - epoch/test_loss","chess_pose_net_effb0 - epoch/test_loss__MIN","chess_pose_net_effb0 - epoch/test_loss__MAX"
"55","4.870231613516808","4.870231613516808","4.870231613516808","6.447088576853275","6.447088576853275","6.447088576853275","15.475477822124958","15.475477822124958","15.475477822124958","5.776596352458","5.776596352458","5.776596352458","13.481143519282341","13.481143519282341","13.481143519282341","4.990026883780956","4.990026883780956","4.990026883780956"
"56","4.9403064250946045","4.9403064250946045","4.9403064250946045","6.4746106043457985","6.4746106043457985","6.4746106043457985","15.043906472623348","15.043906472623348","15.043906472623348","5.754116475582123","5.754116475582123","5.754116475582123","13.393003940582275","13.393003940582275","13.393003940582275","4.961049064993858","4.961049064993858","4.961049064993858"
"57","4.957280486822128","4.957280486822128","4.957280486822128","6.543017044663429","6.543017044663429","6.543017044663429","15.042456492781639","15.042456492781639","15.042456492781639","5.735138639807701","5.735138639807701","5.735138639807701","13.47828097641468","13.47828097641468","13.47828097641468","4.921359062194824","4.921359062194824","4.921359062194824"
"58","4.950981423258781","4.950981423258781","4.950981423258781","6.5458385571837425","6.5458385571837425","6.5458385571837425","14.773500472307205","14.773500472307205","14.773500472307205","5.712743744254112","5.712743744254112","5.712743744254112","13.475015193223953","13.475015193223953","13.475015193223953","4.876780718564987","4.876780718564987","4.876780718564987"
"59","4.946643456816673","4.946643456816673","4.946643456816673","6.601810552179813","6.601810552179813","6.601810552179813","14.572367459535599","14.572367459535599","14.572367459535599","5.682516425848007","5.682516425848007","5.682516425848007","13.260249018669128","13.260249018669128","13.260249018669128","4.860233873128891","4.860233873128891","4.860233873128891"
"60","4.963806211948395","4.963806211948395","4.963806211948395","6.633602634072304","6.633602634072304","6.633602634072304","14.333159320056438","14.333159320056438","14.333159320056438","5.673885330557823","5.673885330557823","5.673885330557823","13.274922460317612","13.274922460317612","13.274922460317612","4.799608767032623","4.799608767032623","4.799608767032623"
"61","5.065029963850975","5.065029963850975","5.065029963850975","6.6286934316158295","6.6286934316158295","6.6286934316158295","14.374303847551346","14.374303847551346","14.374303847551346","5.656064406037331","5.656064406037331","5.656064406037331","13.299168303608894","13.299168303608894","13.299168303608894","4.806250683963299","4.806250683963299","4.806250683963299"
"62","5.0540791451931","5.0540791451931","5.0540791451931","6.6531742215156555","6.6531742215156555","6.6531742215156555","14.322346173226833","14.322346173226833","14.322346173226833","5.626947924494743","5.626947924494743","5.626947924494743","13.07091473042965","13.07091473042965","13.07091473042965","4.752502270042896","4.752502270042896","4.752502270042896"
"63","5.037517637014389","5.037517637014389","5.037517637014389","6.705870866775513","6.705870866775513","6.705870866775513","14.140336535871029","14.140336535871029","14.140336535871029","5.616598844528198","5.616598844528198","5.616598844528198","13.19883930683136","13.19883930683136","13.19883930683136","4.772383116185665","4.772383116185665","4.772383116185665"
"64","5.030045717954636","5.030045717954636","5.030045717954636","6.752976603806019","6.752976603806019","6.752976603806019","13.986622147262096","13.986622147262096","13.986622147262096","5.599991112947464","5.599991112947464","5.599991112947464","13.26460413634777","13.26460413634777","13.26460413634777","4.761704817414284","4.761704817414284","4.761704817414284"
