"Step","stairs_pose_net_g - epoch/test_loss","stairs_pose_net_g - epoch/test_loss__MIN","stairs_pose_net_g - epoch/test_loss__MAX","pumpkin_pose_net_g - epoch/test_loss","pumpkin_pose_net_g - epoch/test_loss__MIN","pumpkin_pose_net_g - epoch/test_loss__MAX","office_pose_net_g - epoch/test_loss","office_pose_net_g - epoch/test_loss__MIN","office_pose_net_g - epoch/test_loss__MAX","heads_pose_net_g - epoch/test_loss","heads_pose_net_g - epoch/test_loss__MIN","heads_pose_net_g - epoch/test_loss__MAX","fire_pose_net_g - epoch/test_loss","fire_pose_net_g - epoch/test_loss__MIN","fire_pose_net_g - epoch/test_loss__MAX","chess_pose_net_g - epoch/test_loss","chess_pose_net_g - epoch/test_loss__MIN","chess_pose_net_g - epoch/test_loss__MAX"
"41","6.962130069732666","6.962130069732666","6.962130069732666","10.427140455693007","10.427140455693007","10.427140455693007","28.476112708449364","28.476112708449364","28.476112708449364","7.2006213665008545","7.2006213665008545","7.2006213665008545","19.11428102850914","19.11428102850914","19.11428102850914","8.986100599169731","8.986100599169731","8.986100599169731"
"42","6.949901774525642","6.949901774525642","6.949901774525642","10.334165792912245","10.334165792912245","10.334165792912245","28.42989209294319","28.42989209294319","28.42989209294319","7.192274823784828","7.192274823784828","7.192274823784828","19.065554447472095","19.065554447472095","19.065554447472095","8.958305656909943","8.958305656909943","8.958305656909943"
"43","6.9353217035532","6.9353217035532","6.9353217035532","10.24024023488164","10.24024023488164","10.24024023488164","28.38100153207779","28.38100153207779","28.38100153207779","7.184464603662491","7.184464603662491","7.184464603662491","19.010353103280067","19.010353103280067","19.010353103280067","8.931031323969364","8.931031323969364","8.931031323969364"
"44","6.922693729400635","6.922693729400635","6.922693729400635","10.147169794887304","10.147169794887304","10.147169794887304","28.33065214753151","28.33065214753151","28.33065214753151","7.175994738936424","7.175994738936424","7.175994738936424","18.955160409212112","18.955160409212112","18.955160409212112","8.90320660918951","8.90320660918951","8.90320660918951"
"45","6.915148004889488","6.915148004889488","6.915148004889488","10.042085368186235","10.042085368186235","10.042085368186235","28.28031811118126","28.28031811118126","28.28031811118126","7.16598616540432","7.16598616540432","7.16598616540432","18.895393051207066","18.895393051207066","18.895393051207066","8.873878389596939","8.873878389596939","8.873878389596939"
"46","6.903669625520706","6.903669625520706","6.903669625520706","9.931023120880127","9.931023120880127","9.931023120880127","28.224951326847076","28.224951326847076","28.224951326847076","7.156315416097641","7.156315416097641","7.156315416097641","18.83991038054228","18.83991038054228","18.83991038054228","8.84628489613533","8.84628489613533","8.84628489613533"
"47","6.889666333794594","6.889666333794594","6.889666333794594","9.825529251247644","9.825529251247644","9.825529251247644","28.16772298514843","28.16772298514843","28.16772298514843","7.146791398525238","7.146791398525238","7.146791398525238","18.78587932884693","18.78587932884693","18.78587932884693","8.81682800501585","8.81682800501585","8.81682800501585"
"48","6.873777881264687","6.873777881264687","6.873777881264687","9.72145764902234","9.72145764902234","9.72145764902234","28.109711349010468","28.109711349010468","28.109711349010468","7.13720315694809","7.13720315694809","7.13720315694809","18.724759370088577","18.724759370088577","18.724759370088577","8.78679508715868","8.78679508715868","8.78679508715868"
"49","6.860464185476303","6.860464185476303","6.860464185476303","9.609328038990498","9.609328038990498","9.609328038990498","28.048125103116035","28.048125103116035","28.048125103116035","7.127783536911011","7.127783536911011","7.127783536911011","18.66447376459837","18.66447376459837","18.66447376459837","8.755209043622017","8.755209043622017","8.755209043622017"
"50","6.846169278025627","6.846169278025627","6.846169278025627","9.50179648771882","9.50179648771882","9.50179648771882","27.982017785310745","27.982017785310745","27.982017785310745","7.118655264377594","7.118655264377594","7.118655264377594","18.601698115468025","18.601698115468025","18.601698115468025","8.721871510148048","8.721871510148048","8.721871510148048"
