"Step","stairs_pose_net_mobv3l - epoch/test_translation_loss","stairs_pose_net_mobv3l - epoch/test_translation_loss__MIN","stairs_pose_net_mobv3l - epoch/test_translation_loss__MAX","pumpkin_pose_net_mobv3l - epoch/test_translation_loss","pumpkin_pose_net_mobv3l - epoch/test_translation_loss__MIN","pumpkin_pose_net_mobv3l - epoch/test_translation_loss__MAX","office_pose_net_mobv3l - epoch/test_translation_loss","office_pose_net_mobv3l - epoch/test_translation_loss__MIN","office_pose_net_mobv3l - epoch/test_translation_loss__MAX","heads_pose_net_mobv3l - epoch/test_translation_loss","heads_pose_net_mobv3l - epoch/test_translation_loss__MIN","heads_pose_net_mobv3l - epoch/test_translation_loss__MAX","fire_pose_net_mobv3l - epoch/test_translation_loss","fire_pose_net_mobv3l - epoch/test_translation_loss__MIN","fire_pose_net_mobv3l - epoch/test_translation_loss__MAX","chess_pose_net_mobv3l - epoch/test_translation_loss","chess_pose_net_mobv3l - epoch/test_translation_loss__MIN","chess_pose_net_mobv3l - epoch/test_translation_loss__MAX"
"53","0.3415513886138797","0.3415513886138797","0.3415513886138797","0.28020632546395063","0.28020632546395063","0.28020632546395063","0.46623633592389524","0.46623633592389524","0.46623633592389524","0.09720257786102593","0.09720257786102593","0.09720257786102593","0.25641677947714925","0.25641677947714925","0.25641677947714925","0.24072271585464478","0.24072271585464478","0.24072271585464478"
"54","0.3407817594707012","0.3407817594707012","0.3407817594707012","0.2805209595244378","0.2805209595244378","0.2805209595244378","0.49394730874337256","0.49394730874337256","0.49394730874337256","0.09691656148061156","0.09691656148061156","0.09691656148061156","0.25700387731194496","0.25700387731194496","0.25700387731194496","0.24108169320970774","0.24108169320970774","0.24108169320970774"
"55","0.3399121044203639","0.3399121044203639","0.3399121044203639","0.2808536000084132","0.2808536000084132","0.2808536000084132","0.5221335226669908","0.5221335226669908","0.5221335226669908","0.09665561676956713","0.09665561676956713","0.09665561676956713","0.25785231310874224","0.25785231310874224","0.25785231310874224","0.24149989802390337","0.24149989802390337","0.24149989802390337"
"56","0.33918028324842453","0.33918028324842453","0.33918028324842453","0.2810254041105509","0.2810254041105509","0.2810254041105509","0.5576783018186688","0.5576783018186688","0.5576783018186688","0.09641260234639049","0.09641260234639049","0.09641260234639049","0.2586841005831957","0.2586841005831957","0.2586841005831957","0.24211670365184546","0.24211670365184546","0.24211670365184546"
"57","0.3378763683140278","0.3378763683140278","0.3378763683140278","0.2815747291315347","0.2815747291315347","0.2815747291315347","0.589081309735775","0.589081309735775","0.589081309735775","0.09619324188679457","0.09619324188679457","0.09619324188679457","0.25947362603619695","0.25947362603619695","0.25947362603619695","0.2427169568836689","0.2427169568836689","0.2427169568836689"
"58","0.3368632812052965","0.3368632812052965","0.3368632812052965","0.28165431460365653","0.28165431460365653","0.28165431460365653","0.6216487819328904","0.6216487819328904","0.6216487819328904","0.09597446885891259","0.09597446885891259","0.09597446885891259","0.2602272257208824","0.2602272257208824","0.2602272257208824","0.24309857096523046","0.24309857096523046","0.24309857096523046"
"59","0.3361889077350497","0.3361889077350497","0.3361889077350497","0.2816332350485027","0.2816332350485027","0.2816332350485027","0.6473033297806978","0.6473033297806978","0.6473033297806978","0.09573370963335037","0.09573370963335037","0.09573370963335037","0.2608529133722186","0.2608529133722186","0.2608529133722186","0.24399686977267265","0.24399686977267265","0.24399686977267265"
"60","0.3352346420288086","0.3352346420288086","0.3352346420288086","0.28177745710127056","0.28177745710127056","0.28177745710127056","0.6669038906693459","0.6669038906693459","0.6669038906693459","0.09551271516829729","0.09551271516829729","0.09551271516829729","0.2618286362849176","0.2618286362849176","0.2618286362849176","0.24512008111923933","0.24512008111923933","0.24512008111923933"
"61","0.3342725560069084","0.3342725560069084","0.3342725560069084","0.2824951771181077","0.2824951771181077","0.2824951771181077","0.6773809865117073","0.6773809865117073","0.6773809865117073","0.0952841283287853","0.0952841283287853","0.0952841283287853","0.26276224153116345","0.26276224153116345","0.26276224153116345","0.24618691485375166","0.24618691485375166","0.24618691485375166"
"62","0.33312795404344797","0.33312795404344797","0.33312795404344797","0.2823705670889467","0.2823705670889467","0.2823705670889467","0.6850602813065052","0.6850602813065052","0.6850602813065052","0.09504035511054099","0.09504035511054099","0.09504035511054099","0.26363876555114985","0.26363876555114985","0.26363876555114985","0.24720812682062387","0.24720812682062387","0.24720812682062387"
