"Step","stairs_pose_net_mobv3s - epoch/test_rotation_loss","stairs_pose_net_mobv3s - epoch/test_rotation_loss__MIN","stairs_pose_net_mobv3s - epoch/test_rotation_loss__MAX","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss__MIN","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss__MAX","office_pose_net_mobv3s - epoch/test_rotation_loss","office_pose_net_mobv3s - epoch/test_rotation_loss__MIN","office_pose_net_mobv3s - epoch/test_rotation_loss__MAX","heads_pose_net_mobv3s - epoch/test_rotation_loss","heads_pose_net_mobv3s - epoch/test_rotation_loss__MIN","heads_pose_net_mobv3s - epoch/test_rotation_loss__MAX","fire_pose_net_mobv3s - epoch/test_rotation_loss","fire_pose_net_mobv3s - epoch/test_rotation_loss__MIN","fire_pose_net_mobv3s - epoch/test_rotation_loss__MAX","chess_pose_net_mobv3s - epoch/test_rotation_loss","chess_pose_net_mobv3s - epoch/test_rotation_loss__MIN","chess_pose_net_mobv3s - epoch/test_rotation_loss__MAX"
"62","0.010918469808530062","0.010918469808530062","0.010918469808530062","0.01406169256370049","0.01406169256370049","0.01406169256370049","0.03224134042102378","0.03224134042102378","0.03224134042102378","0.012895436288090423","0.012895436288090423","0.012895436288090423","0.031406828653416596","0.031406828653416596","0.031406828653416596","0.016665229239151813","0.016665229239151813","0.016665229239151813"
"63","0.010752813424915075","0.010752813424915075","0.010752813424915075","0.014003903168486431","0.014003903168486431","0.014003903168486431","0.0321685261442326","0.0321685261442326","0.0321685261442326","0.012885300355264917","0.012885300355264917","0.012885300355264917","0.031116662416025065","0.031116662416025065","0.031116662416025065","0.01659699402807746","0.01659699402807746","0.01659699402807746"
"64","0.010581696755252779","0.010581696755252779","0.010581696755252779","0.013956365393823944","0.013956365393823944","0.013956365393823944","0.03229040345468093","0.03229040345468093","0.03229040345468093","0.012874808511696756","0.012874808511696756","0.012874808511696756","0.030826067391899414","0.030826067391899414","0.030826067391899414","0.016527744228369556","0.016527744228369556","0.016527744228369556"
"65","0.010407046269392595","0.010407046269392595","0.010407046269392595","0.013937813768279739","0.013937813768279739","0.013937813768279739","0.0326704507751856","0.0326704507751856","0.0326704507751856","0.012862711679190397","0.012862711679190397","0.012862711679190397","0.030530874442774802","0.030530874442774802","0.030530874442774802","0.01645642142102588","0.01645642142102588","0.01645642142102588"
"66","0.010220082942396402","0.010220082942396402","0.010220082942396402","0.013910217341617681","0.013910217341617681","0.013910217341617681","0.0333191933168564","0.0333191933168564","0.0333191933168564","0.012851455598138273","0.012851455598138273","0.012851455598138273","0.030229214928112924","0.030229214928112924","0.030229214928112924","0.01638437097426504","0.01638437097426504","0.01638437097426504"
"67","0.010025959432823583","0.010025959432823583","0.010025959432823583","0.013880762431654148","0.013880762431654148","0.013880762431654148","0.03400973684620112","0.03400973684620112","0.03400973684620112","0.012838216149248183","0.012838216149248183","0.012838216149248183","0.029917682477389462","0.029917682477389462","0.029917682477389462","0.016310271181282587","0.016310271181282587","0.016310271181282587"
"68","0.009836683748289943","0.009836683748289943","0.009836683748289943","0.013862620646250434","0.013862620646250434","0.013862620646250434","0.03466929486603476","0.03466929486603476","0.03466929486603476","0.012826921243686229","0.012826921243686229","0.012826921243686229","0.029600285866763443","0.029600285866763443","0.029600285866763443","0.016235047442023642","0.016235047442023642","0.016235047442023642"
"69","0.009645597077906132","0.009645597077906132","0.009645597077906132","0.013853908007149585","0.013853908007149585","0.013853908007149585","0.035297713038744405","0.035297713038744405","0.035297713038744405","0.012815722438972443","0.012815722438972443","0.012815722438972443","0.029267522084410302","0.029267522084410302","0.029267522084410302","0.016156171244801953","0.016156171244801953","0.016156171244801953"
"70","0.009453400271013379","0.009453400271013379","0.009453400271013379","0.013842431508237496","0.013842431508237496","0.013842431508237496","0.035741003055591136","0.035741003055591136","0.035741003055591136","0.01279835554305464","0.01279835554305464","0.01279835554305464","0.02894742923672311","0.02894742923672311","0.02894742923672311","0.016075135266873986","0.016075135266873986","0.016075135266873986"
"71","0.009272749884985387","0.009272749884985387","0.009272749884985387","0.013848517097358126","0.013848517097358126","0.013848517097358126","0.03627296196646057","0.03627296196646057","0.03627296196646057","0.012777833500877023","0.012777833500877023","0.012777833500877023","0.028620107303140685","0.028620107303140685","0.028620107303140685","0.015993638764484785","0.015993638764484785","0.015993638764484785"
