"Step","stairs_pose_net_g - epoch/test_rotation_loss","stairs_pose_net_g - epoch/test_rotation_loss__MIN","stairs_pose_net_g - epoch/test_rotation_loss__MAX","pumpkin_pose_net_g - epoch/test_rotation_loss","pumpkin_pose_net_g - epoch/test_rotation_loss__MIN","pumpkin_pose_net_g - epoch/test_rotation_loss__MAX","office_pose_net_g - epoch/test_rotation_loss","office_pose_net_g - epoch/test_rotation_loss__MIN","office_pose_net_g - epoch/test_rotation_loss__MAX","heads_pose_net_g - epoch/test_rotation_loss","heads_pose_net_g - epoch/test_rotation_loss__MIN","heads_pose_net_g - epoch/test_rotation_loss__MAX","fire_pose_net_g - epoch/test_rotation_loss","fire_pose_net_g - epoch/test_rotation_loss__MIN","fire_pose_net_g - epoch/test_rotation_loss__MAX","chess_pose_net_g - epoch/test_rotation_loss","chess_pose_net_g - epoch/test_rotation_loss__MIN","chess_pose_net_g - epoch/test_rotation_loss__MAX"
"41","0.013385747210122645","0.013385747210122645","0.013385747210122645","0.02034133576671593","0.02034133576671593","0.02034133576671593","0.056342091265833005","0.056342091265833005","0.056342091265833005","0.014217476855264977","0.014217476855264977","0.014217476855264977","0.03779401307110675","0.03779401307110675","0.03779401307110675","0.017495694846729748","0.017495694846729748","0.017495694846729748"
"42","0.013362215628148988","0.013362215628148988","0.013362215628148988","0.020155532205535565","0.020155532205535565","0.020155532205535565","0.05624999263091013","0.05624999263091013","0.05624999263091013","0.014200849400367588","0.014200849400367588","0.014200849400367588","0.03769658818782773","0.03769658818782773","0.03769658818782773","0.017440356881706975","0.017440356881706975","0.017440356881706975"
"43","0.013334232586203143","0.013334232586203143","0.013334232586203143","0.019967802363680676","0.019967802363680676","0.019967802363680676","0.05615267273969948","0.05615267273969948","0.05615267273969948","0.014185273757902905","0.014185273757902905","0.014185273757902905","0.037586243081022985","0.037586243081022985","0.037586243081022985","0.017386086110491306","0.017386086110491306","0.017386086110491306"
"44","0.013310062568052672","0.013310062568052672","0.013310062568052672","0.019781647948548198","0.019781647948548198","0.019781647948548198","0.05605223006568849","0.05605223006568849","0.05605223006568849","0.014168381923809648","0.014168381923809648","0.014168381923809648","0.03747583689983003","0.03747583689983003","0.03747583689983003","0.017330718503217213","0.017330718503217213","0.017330718503217213"
"45","0.01329580914170947","0.01329580914170947","0.01329580914170947","0.019571579628973268","0.019571579628973268","0.019571579628973268","0.05595200730022043","0.05595200730022043","0.05595200730022043","0.014148395974189043","0.014148395974189043","0.014148395974189043","0.03735625358240213","0.03735625358240213","0.03735625358240213","0.01727234837017022","0.01727234837017022","0.01727234837017022"
"46","0.013273721284349449","0.013273721284349449","0.013273721284349449","0.01934948794223601","0.01934948794223601","0.01934948794223601","0.055841630150098354","0.055841630150098354","0.055841630150098354","0.01412909707869403","0.01412909707869403","0.01412909707869403","0.03724525752477348","0.03724525752477348","0.03724525752477348","0.01721741737856064","0.01721741737856064","0.01721741737856064"
"47","0.013246553106000647","0.013246553106000647","0.013246553106000647","0.019138627336360514","0.019138627336360514","0.019138627336360514","0.05572772625600919","0.05572772625600919","0.05572772625600919","0.014110092131886631","0.014110092131886631","0.014110092131886631","0.03713716828497127","0.03713716828497127","0.03713716828497127","0.01715870521729812","0.01715870521729812","0.01715870521729812"
"48","0.01321569734136574","0.01321569734136574","0.01321569734136574","0.018930577876744792","0.018930577876744792","0.018930577876744792","0.055612022697459906","0.055612022697459906","0.055612022697459906","0.014090942277107388","0.014090942277107388","0.014090942277107388","0.037014827656093985","0.037014827656093985","0.037014827656093985","0.017098889205954038","0.017098889205954038","0.017098889205954038"
"49","0.013189953126129694","0.013189953126129694","0.013189953126129694","0.01870624762523221","0.01870624762523221","0.01870624762523221","0.055489243008196354","0.055489243008196354","0.055489243008196354","0.014072131249122322","0.014072131249122322","0.014072131249122322","0.0368942282802891","0.0368942282802891","0.0368942282802891","0.017035998913343064","0.017035998913343064","0.017035998913343064"
"50","0.0131619324820349","0.0131619324820349","0.0131619324820349","0.018491284616175108","0.018491284616175108","0.018491284616175108","0.05535748158581555","0.05535748158581555","0.05535748158581555","0.014053918042918667","0.014053918042918667","0.014053918042918667","0.03676863605505787","0.03676863605505787","0.03676863605505787","0.01696958097454626","0.01696958097454626","0.01696958097454626"
"51","0.01313729902904015","0.01313729902904015","0.01313729902904015","0.01827259117271751","0.01827259117271751","0.01827259117271751","0.05522696935804561","0.05522696935804561","0.05522696935804561","0.01403725441196002","0.01403725441196002","0.01403725441196002","0.03664129029493779","0.03664129029493779","0.03664129029493779","0.01690413089818321","0.01690413089818321","0.01690413089818321"
